Text,URLs,Label,KO LABEL,WITH UNCERTAIN
The Trump hating media s blatant hypocrisy media bashing,http://www.foxnews.com/opinion/2018/08/14/trump-hating-medias-blatant-hypocrisy-even-about-media-bashing.html,right,R,R
Doug Schoen GOP primaries Republican Party Trump Party,http://www.foxnews.com/opinion/2018/08/15/doug-schoen-gop-primaries-show-republican-party-is-now-trump-party.html,right,R,R
RT RealJamesWoods You gonna need bigger truck... SanctuaryShitholeSanFran,http://www.foxnews.com/opinion/2018/08/17/san-francisco-introduces-poop-patrol-to-clean-up-after-its-own-crappy-liberal-policies.html,right,R,R
RT DebbieAAldrich Newt Gingrich Democrats idea demons unleashing.,http://www.foxnews.com/opinion/2018/08/18/newt-gingrich-democrats-have-no-idea-what-demons-are-unleashing.html,right,R,R
Dan Gainor Summertime media embarrassing hating America loving Antifa,http://www.foxnews.com/opinion/2018/08/19/dan-gainor-summertime-and-media-are-embarrassing-from-hating-america-to-loving-antifa.html,right,R,R
Michael Goodwin The media s hatred Trump hurting ... media,http://www.foxnews.com/opinion/2018/08/20/michael-goodwin-medias-hatred-trump-is-only-hurting-media.html,right,R,R
trump iinnocent wHy hs supporters tterrified trump iinterviewed,http://www.foxnews.com/opinion/2018/08/20/newt-gingrich-muellers-fatal-mistake.html,right,L,U
Trump gaining black support policies improving lives Americans,http://www.foxnews.com/opinion/2018/08/20/trump-is-gaining-black-support-because-his-policies-are-improving-lives-all-americans.html,right,R,R
Trump makes easier poor performing federal workers,http://www.foxnews.com/politics/2018/05/25/trump-makes-it-easier-to-fire-poor-performing-federal-workers.html,right,R,R
Supreme Court sides Colorado baker refused wedding cake sex couple,http://www.foxnews.com/politics/2018/06/04/supreme-court-sides-with-colorado-baker-who-refused-to-make-wedding-cake-for-same-sex-couple.html,right,R,R
"Food stamp enrollment falls 8 year low Trump clamps fraud, economy improves",http://www.foxnews.com/politics/2018/06/18/food-stamp-enrollment-falls-to-8-year-low-as-trump-clamps-down-on-fraud-economy-improves.html,right,R,U
Trump accuses low IQ Rep. Waters advocating harm supporters,http://www.foxnews.com/politics/2018/06/25/trump-accuses-low-iq-rep-waters-advocating-harm-against-his-supporters.html,right,R,R
It s fine disagree encouraging promoting violence stop.,http://www.foxnews.com/politics/2018/06/26/republican-lawmaker-introduces-motion-asking-for-maxine-waters-resignation.html,right,L,L
Mitch McConnell says protesters confronted waited wife Elaine Chao gone,http://www.foxnews.com/politics/2018/07/10/mitch-mcconnell-says-protesters-who-confronted-him-waited-until-wife-elaine-chao-was-gone.html,center,R,R
McCain says Helsinki summit forward Trump takes firm stand Russian meddling,http://www.foxnews.com/politics/2018/07/13/mccain-says-helsinki-summit-should-not-move-forward-unless-trump-takes-firm-stand-against-russian-meddling.html,center,R,R
Counterprotesters burn American flag outside office Maxine Waters,http://www.foxnews.com/politics/2018/07/19/counterprotesters-burn-american-flag-outside-office-maxine-waters.html,center,R,R
Liberal 9th Circuit shocks Sanctuary State w pro 2nd Amdmt decision blocking unconstitutional lower court ammo ban,http://www.foxnews.com/politics/2018/07/20/liberal-9th-circuit-surprises-with-pro-2nd-amendment-decision-blocking-california-ammo-ban.html,right,R,R
"Trump looking revoking security clearances Brennan, Obama officials",http://www.foxnews.com/politics/2018/07/23/trump-looking-into-revoking-security-clearances-for-brennan-other-top-obama-officials.html,right,R,R
RT brithume Whatever happened live let live It American attitude. Sad see.,http://www.foxnews.com/politics/2018/07/24/sean-spicer-book-tour-stop-at-massachusetts-bjs-store-nixed-over-political-climate.html,center,R,U
NO LAUGHING ON THE LEFT Liberal media killjoys miss joke spoof Alexandria Ocasio Cortez interview,http://www.foxnews.com/politics/2018/07/26/conservatives-satirical-ocasio-cortez-interview-triggers-media-uproar.html,center,R,R
"Pelosi describes 9 11 attacks incident, suggests GOP weaker border Democrats",http://www.foxnews.com/politics/2018/07/27/pelosi-describes-911-attacks-as-incident-suggests-gop-weaker-on-border-than-democrats.html,center,R,R
Painting Trump team Crossing Swamp touches social media frenzy,http://www.foxnews.com/politics/2018/07/31/painting-trump-team-crossing-swamp-touches-off-social-media-frenzy.html,right,R,R
Billionaire liberal Tom Steyer says Dems lack common sense fighting impeach Trump,http://www.foxnews.com/politics/2018/08/02/billionaire-liberal-tom-steyer-says-dems-lack-common-sense-for-not-fighting-to-impeach-trump.html,center,R,R
"Omarosa lashes Trump, alleges mental decline new book",http://www.foxnews.com/politics/2018/08/03/omarosa-lashes-out-at-trump-alleges-mental-decline-in-new-book.html,center,R,U
Omarosa releases purported secret recording Chief Staff John Kelly threatening Situation Room,http://www.foxnews.com/politics/2018/08/12/omarosa-releases-purported-secret-recording-chief-staff-john-kelly-threatening-her-in-situation-room.html,center,R,R
Photographer viral image starving polar bear raises questions climate change narrative,http://www.foxnews.com/science/2018/07/27/photographer-behind-viral-image-starving-polar-bear-raises-questions-about-climate-change-narrative.html,center,R,R
Active shooter video game prompts outrage wake mass shootings,http://www.foxnews.com/tech/2018/05/27/active-shooter-video-game-prompts-outrage-in-wake-mass-shootings.html,center,R,R
"Disney eliminate plastic straws, stirrers resorts 2019",http://www.foxnews.com/travel/2018/07/26/disney-to-eliminate-plastic-straws-stirrers-at-all-resorts-by-2019.html,center,R,R
"After deadly school shooting, Santa Fe, Texas, holds evening prayer hope",http://www.foxnews.com/us/2018/05/24/after-deadly-school-shooting-santa-fe-texas-holds-evening-prayer-and-hope.html,center,R,R
Suspect custody shooting Indiana middle school 2 victims reported,http://www.foxnews.com/us/2018/05/25/suspect-in-custody-after-shooting-at-indiana-middle-school-2-victims-reported.html,center,R,U
Texas mom shoots man trying car kids inside gas station I hope woke,http://www.foxnews.com/us/2018/07/05/texas-mom-shoots-man-trying-to-take-car-with-her-kids-inside-at-gas-station-hope-that-woke-him-up.html,center,R,R
Democrats protesting Democratic mismanagement violence Democratic policies cause.,http://www.foxnews.com/us/2018/07/07/anti-violence-protesters-plan-to-shut-down-chicago-freeway.html,center,R,R
"Mandalay Bay Casino s corporation sues victims Las Vegas mass shooting federal court, dismiss state cases",http://www.foxnews.com/us/2018/07/17/mandalay-bay-owners-sue-victims-las-vegas-mass-shooting.html,center,R,R
Onetime Bush doctor gunned riding bicycle hospital worked,http://www.foxnews.com/us/2018/07/20/onetime-bush-doctor-is-gunned-down-riding-bicycle-to-hospital-where-worked.html?cq_ck=1532138025376,center,R,R
GANG Of CULTURALLY DIVERSE ILLEGAL ALIEN CRIMINALS BUSTED Culturally Enriching Texas Daylight ROBBING MALL,http://www.foxnews.com/us/2018/07/30/texas-mall-robbery-suspects-idd-as-mexican-nationals-in-us-illegally.html,right,R,R
"Chicago shootings leave dozens people wounded, 3 dead weekend",http://www.foxnews.com/us/2018/08/05/chicago-shootings-leave-dozens-people-wounded-at-least-3-dead-over-weekend.html,center,R,R
"Trump supporters provoke violence leaves office, professor says",http://www.foxnews.com/us/2018/08/09/trump-supporters-will-provoke-violence-when-leaves-office-professor-says.html,center,R,R
"Unite Right march triggers tension, Antifa clashes, hundreds counterprotesters",http://www.foxnews.com/us/2018/08/12/unite-right-march-triggers-tension-antifa-clashes-hundreds-counterprotesters.html,center,R,R
Anti Trump paraglider flew meters away president arrested,http://www.foxnews.com/world/2018/07/15/anti-trump-paraglider-who-flew-meters-away-from-president-arrested.html,center,R,R
Voters overwhelmingly Democrats need fresh face 2020 election Trump,http://www.newsweek.com/2020-candidates-democrats-bernie-sanders-elizabeth-warren-fresh-face-kamala-1028991,center,C,U
Donald Trump praise Putin comments KKK grand wizard David Duke,http://www.newsweek.com/donald-trump-praise-kkk-david-duke-1028028,center,C,C
Deadly Heat Wave Threatens Japan Aftermath Torrential Rains,http://www.newsweek.com/japan-flood-rain-heat-wave-1023000,center,C,U
"Police Body Cameras Can Threaten Civil Rights Black Brown People, New Report Says",http://www.newsweek.com/police-body-camera-incident-report-memory-civil-rights-minority-711584,left,L,U
"Protests break Tel Aviv, Jerusalem, preventing LGBT surrogacy passed simplyvirtuoushumanrights",http://www.newsweek.com/protests-erupt-israel-lgbt-surrogacy-law-approved-1034931,center,C,U
RT RBReich No democracy function continuous bombardment unmediated lies.,http://www.newsweek.com/robert-reich-donald-trump-liar-dont-let-him-get-away-it-opinion-1019084,left,L,L
Watch Protesters chant lock Trump Melania arrive White House,http://www.newsweek.com/video-lock-him-protesters-chant-trump-and-melania-arrive-white-house-1037872,center,C,C
Trump kneeled Putin wants suspensions NFL players kneel anthem,http://www.reuters.com/article/us-football-nfl-anthem/trump-wants-suspensions-for-nfl-players-who-kneel-during-anthem-idUSKBN1KA2VG,center,C,C
"Trump tells Iran never, threaten U.S., suffer consequences",http://www.reuters.com/article/us-usa-iran/trump-tells-iran-never-ever-threaten-u-s-or-suffer-consequences-idUSKBN1KD0GK,center,C,C
"Shock, alarm Trump backs Putin election meddling summit",http://www.reuters.com/article/us-usa-russia-summit/shock-alarm-as-trump-backs-putin-on-election-meddling-at-summit-idUSKBN1K601D,center,C,C
Everything realDonaldTrump tweets self serving lie reported ignored.,http://www.reuters.com/article/us-usa-trump-russia-page-doc/trump-says-his-campaign-was-spied-upon-illegally-offers-no-evidence-idUSKBN1KC0EP,center,L,L
TBT Editorial Searching real Adam Putnam swing extreme right.,http://www.tampabay.com/opinion/editorials/Editorial-Searching-for-the-real-Adam-Putnam_168544581,center,C,U
Brown Girl Surf Wants Change Surf Culture TheRoot nature PeopleofColour BlackCommunity,http://www.theroot.com/brown-girl-surf-wants-to-change-surf-culture-1826396708?utm_medium=sharefromsite&utm_source=The_Root_twitter,left,L,L
Lin Manuel Miranda We want families reunited familiesbelongtogethermarch,http://www.usatoday.com/story/life/people/2018/06/30/lin-manuel-miranda-families-belong-together/748133002/,center,C,C
College undergrads question value high priced education Survey,http://www.usatoday.com/story/money/personalfinance/2018/07/11/college-student-question-cost-education-loan-value/772770002/,center,C,U
Lawsuit linking Trump leak Democratic emails tossed,http://www.usatoday.com/story/news/politics/2018/07/04/judge-tosses-suit-linking-trump-leak-democratic-emails/757588002/,center,C,C
Republican fools act Donald Trump s Russia summit advance men,http://www.usatoday.com/story/opinion/2018/07/08/congressional-republican-trip-russia-lavrov-kislyak-donald-trump-finland-column/764003002/,left,L,L
"Josh Hader MLB, Brewers denounce All Stars racists tweets",http://www.usatoday.com/story/sports/mlb/2018/07/18/josh-hader-racists-tweets-sensitivity-training/796106002/,center,C,C
"Interesting Analysis By Trump s yardstick, NKorea pact falls flat AP",https://apnews.com/55b00c1697714b4ba18389fc0a81a49b,left,C,U
RT ForHillary Trump s immigration policy inhuman. LET S PROTEST TODAY FamiliesBelongTogether,https://apnews.com/69ceb617e2c241d29dd123cde6c40ae7,left,L,U
Law school prep test labels Trump racist unfit office,https://nypost.com/2018/08/07/law-school-prep-test-labels-trump-as-racist-and-unfit-for-office/,center,R,R
Starbucks closes thousands stores racial bias training This surely nec,https://www.aljazeera.com/news/2018/05/starbucks-closes-thousands-stores-racial-bias-training-180529200915525.html,left,L,L
Evangelical leaders downplay potential Roe v. Wade reversal,https://www.apnews.com/c3ce142c486e41d2b14bfcea2cbfb59f,left,L,U
"RT azcentral Eight percent Arizona s children identify gay, lesbian, bisexual transgender, advocates say.",https://www.azcentral.com/story/news/local/arizona/2018/07/14/arizona-resources-lgbt-youth-groups-mental-health-housing-homeless-std/718342002/,center,C,U
Trump ready tax Chinese imports BBC News TNWACquiz WACnewsquiz WACnewsquiz,https://www.bbc.com/news/business-44898629,center,C,C
Sheffield Mayor Magid Magid bans Donald Trump city BBC News,https://www.bbc.com/news/uk-england-south-yorkshire-44714939,center,L,U
BBC News Complex challenge tackling impact poverty education,https://www.bbc.com/news/uk-scotland-44295464,left,C,C
Ramadan Women s shame eating menstruation BBC News The idea women,https://www.bbc.com/news/world-44304012,center,C,U
BBC News Is North Korea secretly continuing nuclear programme,https://www.bbc.com/news/world-asia-44679144,center,C,U
BBC News fails climate link reporting Japan heatwave. When dots connect,https://www.bbc.com/news/world-asia-44910435,center,C,U
BBC News Japan heatwave Temperature breaks national record 40C pales insignificanc,https://www.bbc.com/news/world-asia-44921834',center,C,C
BBC News Affirmative action Trump scrap college racial bias policy,https://www.bbc.com/news/world-us-canada-44703874,center,C,C
BBC News Deadly heat wave kills 33 southern Quebec,https://www.bbc.com/news/world-us-canada-44730887,center,C,U
BBC News Trump pardons Oregon ranchers sparked 2016 militia standoff,https://www.bbc.com/news/world-us-canada-44775113,center,C,C
BBC News Trump criticises Obama US 2016 election hack,https://www.bbc.com/news/world-us-canada-44833479,center,C,C
Parkland school shooting Father survivors killed Florida store BBC News,https://www.bbc.com/news/world-us-canada-44902595,center,C,U
The financial impacts climatechange finally starting apparent big companies.,https://www.bloomberg.com/news/articles/2018-06-12/trump-oil-of-less-concern-than-climate-change-for-top-companies,left,L,L
Children tool Trump s effort stop border crossings. BostonGlobe,https://www.bostonglobe.com/news/nation/2018/06/09/borderseparations/Z95z4eFZjyfqCLG9pyHjAO/story.html?event=event25,left,L,L
Joe Crowley Families Who Cross Border Illegally Should Given Money BreitbartNews,https://www.breitbart.com/big-government/2018/07/25/joe-crowley-families-who-cross-border-illegally-should-be-given-money/,right,R,R
"RT marklevinshow Kamala Harris accomplishments Senate, s ready president",https://www.breitbart.com/big-government/2018/08/10/kamala-harris-unable-to-name-a-legislative-accomplishment-when-asked/,right,L,U
RT RealJamesWoods Funny happens guy loves country takes reins guy hates it...,https://www.breitbart.com/economics/2018/08/16/walmart-execs-this-is-the-best-economy-for-our-customers-in-decades/,right,R,U
RT AnnaApp91838450 Jack You Should Wake Up Unlike Courrupt Lying Democrats Call Us Dumb Deplorable Hillbillies,https://www.breitbart.com/tech/2018/08/16/twitter-verifies-new-york-times-bigot-sarah-jeong-despite-racist-tweets/amp/?__twitter_impression=true,right,R,R
RT KamalaHarris We fight demand action kids communities safe gun violence.,https://www.cnn.com/2018/05/23/us/school-shooting-tweets-trnd/index.html,left,L,L
America s doctors strongest gun control measures date,https://www.cnn.com/2018/06/13/health/ama-doctors-gun-control-reform/index.html,left,L,U
RT AprilDRyan GOP senator Republicans cult like situation Trump,https://www.cnn.com/2018/06/13/politics/bob-corker-cult-republicans/index.html,left,L,L
Kids immigration court A maze life death consequences,https://www.cnn.com/2018/06/30/politics/children-in-court/index.html,left,L,L
RT RealSaavedra BREAKING Democrats Reject Legislative Fix To Stop Family Separations,https://www.dailywire.com/news/32055/breaking-democrats-reject-legislative-fix-stop-ryan-saavedra,right,R,R
"RT Scavino45 Criminal Illegal Alien Deported 11 Times Attacked Woman Chainsaw, ICEgov Says",https://www.dailywire.com/news/33075/criminal-illegal-alien-deported-11-times-attacked-ryan-saavedra,right,R,R
RT RealSaavedra BOMBSHELL Liberal Publication Says Twitter Is Censoring Republicans,https://www.dailywire.com/news/33575/bombshell-twitter-shadow-banning-prominent-ryan-saavedra,right,R,R
Hogg To Old Pelosi Move The F Off...And Let Us Take Control,https://www.dailywire.com/news/34774/hogg-old-pelosi-move-fck-offand-let-us-take-ryan-saavedra,right,R,R
"Who goes Texas Rangers baseball game s 108 degrees Turns out, lot people",https://www.dallasnews.com/opinion/commentary/2018/07/22/goes-texas-rangers-game-108-degrees-meet-guys,center,C,C
Trump pulls Obama era protections women workplace nbcnews,https://www.nbcnews.com/news/us-news/trump-pulls-back-obama-era-protections-women-workers-n741041,left,L,L
"Feds build tent city house migrant kids Tornillo, Texas nbcnews",https://www.nbcnews.com/politics/immigration/trump-admin-will-house-migrant-kids-tents-tornillo-texas-n883281,center,L,L
"Justice blind, I hope s heartless. These people deserve better The Land Free.",https://www.nbcnews.com/politics/justice-department/here-s-how-trump-administration-trying-shut-down-daca-n882471,center,L,L
Top Geologist Rising Sea Levels Threaten US Coast ClimateChange Environment,https://www.newsmax.com/newsfront/geologists-rising-sea-levels-us/2018/06/26/id/868388/,center,R,U
"RT rinkui In Wake Critical Book, Trump Calls Omarosa Lowlife Newsmax Newsmax Media",https://www.newsmax.com/newsfront/Omarosa-book-trump-lowlife/2018/08/11/id/876618/,center,R,R
RT TomSteyer This incredibly disturbing. Trump held accountable.,https://www.newsweek.com/dozens-babies-forced-appear-immigration-court-some-without-any-representation-1032205,center,L,L
Newsweek Thief Allegedly Shot By Gas Station Owner Nobody Deserves Be Gunned Down Beer . GoogleNews,https://www.newsweek.com/shell-gas-station-lakeland-florida-polk-county-sheriffs-office-natural-ice-1032333?utm_source=GoogleNewsstandUS&utm_medium=Feed&utm_campaign=Partnerships,center,C,C
Trump Administration Freezes Payments Required By The Affordable Care Act,https://www.npr.org/627042776,center,C,U
Why People With Disabilities Want Bans On Plastic Straws To Be More Flexible,https://www.npr.org/627773979,left,C,U
RT RealJL33 China Files WTO Complaint Over U.S. Tariffs On 200 Billion Of Imports,https://www.npr.org/629390937,center,C,U
How Luxury Hotels And Restaurants In Developing Countries Fight FoodWaste,https://www.npr.org/sections/thesalt/2018/07/20/628206194/how-luxury-hotels-and-restaurants-in-developing-countries-fight-food-waste,center,C,U
"The average American uses 23.6 rolls toilet paper year, non recycled paper",https://www.nytimes.com/2009/02/26/world/americas/26iht-paper.1.20453524.html,left,L,U
GOP scolds Trump team feud Canada POLITICO GoogleNews,https://www.politico.com/story/2018/06/11/trump-canada-feud-republicans-637527,left,L,L
NFL players union challenges policy stop anthem protests.,https://www.reuters.com/article/us-football-nfl-anthem/nfl-players-challenge-leagues-anthem-policy-idUSKBN1K02F2,center,C,C
"Iran calls world stand Trump, save nuclear deal Reuters GoogleNews",https://www.reuters.com/article/us-iran-nuclear-zarif/iran-calls-on-world-to-stand-up-to-trump-save-nuclear-deal-idUSKCN1IZ0U4,center,C,C
Trees That Have Lived Millennia Are Suddenly Dying,https://www.theatlantic.com/science/archive/2018/06/baobab-trees-dying-climate-change/562499/,left,L,L
RT kimguilfoyle HISTORIC Black Business Ownership Under Trump Jumps 400 ONE YEAR gatewaypundit,https://www.thegatewaypundit.com/2018/08/historic-black-business-ownership-under-trump-jumps-400-in-one-year/,right,R,R
More Liberal Insanity NY Times Endorses Unhinged Candidate Who Wants Jail ICE Officers,https://www.thegatewaypundit.com/2018/08/more-liberal-insanity-ny-times-endorses-unhinged-candidate-who-wants-to-jail-ice-officers/?utm_source=dlvr.it&utm_medium=twitter,right,R,R
Top 10 Reasons Why Today s Robust Economy Belongs President Trump Not Obama,https://www.thegatewaypundit.com/2018/08/top-10-reasons-why-todays-robust-economy-belongs-to-president-trump-and-not-to-obama/?utm_source=dlvr.it&utm_medium=twitter,right,R,R
WAYNE ALLYN ROOT Why Do Liberals Keep Hurting Themselves,https://www.thegatewaypundit.com/2018/08/wayne-allyn-root-why-do-liberals-keep-hurting-themselves/?utm_source=dlvr.it&utm_medium=twitter,right,R,R
Publisher defends diversity drive Lionel Shriver s attack,https://www.theguardian.com/books/2018/jun/11/publisher-defends-diversity-drive-after-lionel-shrivers-attack?CMP=Share_AndroidApp_Tweet,left,L,L
CN Transphobia. It s hard respect people s gender expression.,https://www.theguardian.com/commentisfree/2018/jun/04/gender-neutral-pronouns-they-he-she-why-deny?CMP=twt_gu&__twitter_impression=true&__twitter_impression=true,left,L,U
Our plastic pollution crisis big recycling fix Annie Leonard,https://www.theguardian.com/commentisfree/2018/jun/09/recycling-plastic-crisis-oceans-pollution-corporate-responsibility?CMP=share_btn_tw,left,L,L
"gt Interesting If Trump wants blow world order, stop",https://www.theguardian.com/commentisfree/2018/jun/11/trump-world-order-who-will-stop-him?CMP=Share_iOSApp_Other,left,L,U
Trump turned words weapons. And s winning linguistic war,https://www.theguardian.com/commentisfree/2018/jun/13/how-to-report-trump-media-manipulation-language?CMP=Share_iOSApp_Other,left,L,U
Trusting government protect civil liberties That s sick joke,https://www.theguardian.com/commentisfree/2018/jun/13/trusting-the-government-to-protect-civil-liberties-thats-a-sick-joke?CMP=share_btn_tw,left,L,L
Big Oil CEOs needed climate change reality check. The Pope delivered Bill McKibben,https://www.theguardian.com/commentisfree/2018/jun/14/big-oil-ceo-climate-change-reality-check-pope?CMP=share_btn_tw,left,L,L
Nazi flags war crimes Our armed forces need better leadership CaptainBridget,https://www.theguardian.com/commentisfree/2018/jun/14/nazi-flags-and-war-crimes-our-armed-forces-need-better-leadership?CMP=soc_567,left,L,L
Our laws slaves nature. It s humans need rights Mari Margil,https://www.theguardian.com/commentisfree/2018/may/23/laws-slaves-nature-humans-rights-environment-amazon?CMP=share_btn_tw,left,L,U
"RT drvconway THIS After abortion vote, I want thank Britain. You Irish women",https://www.theguardian.com/commentisfree/2018/may/28/abortion-vote-thank-britain-irish-women-migrants?CMP=Share_AndroidApp_Tweet,left,L,U
Australia t realise worsening drought pushes farmers brink,https://www.theguardian.com/environment/2018/jun/10/australia-doesnt-realise-worsening-drought-pushes-farmers-to-the-brink?CMP=share_btn_tw,center,L,L
RT guardianeco Chris Packham warns ecological apocalypse Britain,https://www.theguardian.com/environment/2018/jun/11/chris-packham-springwatch-warns-of-ecological-apocalypse-britain?CMP=twt_a-environment_b-gdneco,left,L,L
"Australia s emissions reduction target unambitious, irresponsible",https://www.theguardian.com/environment/2018/jun/12/australias-emissions-reduction-target-unambitious-irresponsible?CMP=share_btn_tw,left,L,L
RT guardianeco How universal basic income rewilding save planet Simon Lewis Mark Maslin,https://www.theguardian.com/environment/2018/jun/12/universal-basic-income-and-rewilding-can-meet-anthropocene-demands?CMP=twt_a-environment_b-gdneco,left,L,L
"Recycled plastic supply quarters UK demand, report finds",https://www.theguardian.com/environment/2018/jun/14/recycled-plastic-could-supply-three-quarters-of-uk-demand-report-finds?CMP=share_btn_tw,left,L,L
Global warming Hurricane Harvey destructive John Abraham,https://www.theguardian.com/environment/climate-consensus-97-per-cent/2018/may/23/global-warming-made-hurricane-harvey-more-destructive?CMP=share_btn_tw,left,L,L
Trump administration refuses consider 97 climate scientists right Dana Nuccitelli,https://www.theguardian.com/environment/climate-consensus-97-per-cent/2018/may/29/trump-administration-refuses-to-consider-that-97-of-climate-scientists-could-be-right?CMP=share_btn_tw,left,L,L
Robert De Niro wins ovation Fuck Trump speech Tony awards,https://www.theguardian.com/film/2018/jun/11/robert-de-niro-wins-ovation-fuck-trump-speech-tony-awards?CMP=Share_AndroidApp_Tweet,center,L,L
Active Shooter video game condemned parents Parkland victims,https://www.theguardian.com/games/2018/may/29/active-shooter-video-game-parkland-school-massacre-florida?CMP=share_btn_tw,left,L,L
"Common sense necessary. Elderly social care free point need , says report.",https://www.theguardian.com/society/2018/jun/15/social-care-elderly-should-be-free-at-point-of-need-ippr-report?CMP=share_btn_tw,left,L,L
Surveillance society technology US Mexico border gone far immigration surveillance,https://www.theguardian.com/technology/2018/jun/13/mexico-us-border-wall-surveillance-artificial-intelligence-technology?CMP=Share_AndroidApp_Tweet,left,L,L
Finally... UK weather forecasters predict long hot summer,https://www.theguardian.com/uk-news/2018/jun/10/after-hottest-may-on-record-fine-weather-will-last-until-autumn?CMP=share_btn_tw,center,L,U
RT LindaJeffreys People Manchester exposed dangerous levels airpollution,https://www.theguardian.com/uk-news/2018/jun/14/people-in-manchester-exposed-to-dangerous-levels-of-air-pollution?CMP=share_btn_tw,left,L,L
Activists channel Martin Luther King new national climate campaign environmentaljustice,https://www.theguardian.com/us-news/2018/jun/11/poor-peoples-campaign-protest-climate-change?CMP=share_btn_tw,left,L,U
"US suspend military exercises South Korea, Trump says",https://www.theguardian.com/us-news/2018/jun/12/us-to-suspend-war-games-with-south-korea-donald-trump-kim-jong-un-north-summit?CMP=share_btn_tw,center,L,L
Mike Pompeo loses temper asked North Korean disarmament,https://www.theguardian.com/us-news/2018/jun/13/north-korea-nuclear-deal-trump-next-steps-what-will-happen?CMP=Share_AndroidApp_Tweet,center,L,U
Harebrained National Security Council owns widely derided Trump video,https://www.theguardian.com/us-news/2018/jun/13/trump-video-national-security-council-destiny-pictures?CMP=Share_iOSApp_Other,center,L,L
Six Bible verses Jeff Sessions read separates migrant families,https://www.theguardian.com/us-news/2018/jun/15/bible-jeff-sessions-sarah-sanders-trump-administration?CMP=Share_iOSApp_Other,left,L,L
America s segregated shores beaches long history racial battleground,https://www.theguardian.com/world/2018/jun/12/americas-segregated-shores-beaches-long-history-as-a-racial-battleground?CMP=share_btn_tw,left,L,L
Italy summons French ambassador row migrant rescue boat,https://www.theguardian.com/world/2018/jun/13/italy-hits-back-at-french-criticism-over-turning-away-migrants-ship-aquarius?CMP=share_btn_tw,left,L,L
Trump bully thought Canada weak. He wrong Jen Gerson,https://www.theguardian.com/world/commentisfree/2018/jun/11/trump-canada-bully-trade-trudeau?CMP=share_btn_tw,left,L,L
Hundreds protest Supreme Court Trump nominates Kavanaugh,https://www.usatoday.com/story/news/2018/07/09/hundreds-protest-supreme-court-after-trump-nominates-kavanaugh/767834002/,center,C,C
The 10 strongest statements GOP lawmakers President Trump Russia friend,https://www.usatoday.com/story/news/politics/2018/07/16/republican-lawmakers-tell-donald-trump-russia-not-our-friend/789325002/,left,C,U
President Trump claims FISA court documents vindicate position,https://www.usatoday.com/story/news/politics/2018/07/22/donald-trump-fisa-court-documents-vindicate-his-position-doj/799660002/,center,C,C
President Donald Trump calls European Union foe USA TODAY GoogleNews,https://www.usatoday.com/story/news/world/2018/07/15/president-donald-trump-calls-european-union-foe/786663002/,center,C,C
"Worth reading Income inequality changing think, live, die voxdotcom",https://www.vox.com/2018/5/24/17368308/income-inequality-poverty-in-america?utm_campaign=vox&utm_content=entry&utm_medium=social&utm_source=twitter,left,L,L
RT voxdotcom Trump told 4 lies inspector general report short Fox News hit,https://www.vox.com/policy-and-politics/2018/6/15/17467706/trump-inspector-general-fox-news?utm_campaign=vox&utm_content=chorus&utm_medium=social&utm_source=twitter,left,L,L
